2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Supporting Family Caregivers, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Multimedia, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Information for Authors, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Language Editing Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists About the Journal, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Advertising and Business, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists AJN Photo Exhibit: Faces of Caring, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Award Winners, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Contact Info, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Editorial Board, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Information for Faculty, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Information For Media, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Letters to the Editor, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Reprints, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Rights and Permissions, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
